2033,Ready-Mixed Concrete Manufacturing,203
2034,Concrete Product Manufacturing,203
2090,Other Non-Metallic Mineral Product Manufacturing,209
2110,Iron Smelting and Steel Manufacturing,211
2121,Iron and Steel Casting,212
2122,Steel Pipe and Tube Manufacturing,212
2131,Alumina Production,213
2132,Aluminium Smelting,213
2133,"Copper, Silver, Lead, and Zinc Smelting and Refining",213
2139,Other Basic Non-Ferrous Metal Manufacturing,213
2141,Non-Ferrous Metal Casting,214
2142,"Aluminium Rolling, Drawing, Extruding",214
2149,Other Basic Non-Ferrous Metal Product Manufacturing,214
2210,Iron and Steel Forging,221
2221,Structural Steel Fabricating,222
2222,Prefabricated Metal Building Manufacturing,222
2223,Architectural Aluminium Product Manufacturing,222
2224,Metal Roof and Guttering Manufacturing (except Aluminium),222
2229,Other Structural Metal Product Manufacturing,222
2231,"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing",223
2239,Other Metal Container Manufacturing,223
2240,Other Sheet Metal Product Manufacturing,224
2291,Spring and Wire Product Manufacturing,229
2292,"Nut, Bolt, Screw and Rivet Manufacturing",229
2293,Metal Coating and Finishing,229
2299,Other Fabricated Metal Product Manufacturing n.e.c.,229
2311,Motor Vehicle Manufacturing,231
2312,Motor Vehicle Body and Trailer Manufacturing,231
2313,Automotive Electrical Components Manufacturing,231
2319,Other Motor Vehicle Parts Manufacturing,231
2391,Shipbuilding and Repair Services,239
2392,Boatbuilding and Repair Services,239
2393,Railway Rolling Stock Manufacturing and Repair Services,239
2394,Aircraft Manufacturing and Repair Services,239
2399,Other Transport Equipment Manufacturing n.e.c.,239
2411,"Photographic, Optical and Ophthalmic Equipment Manufacturing",241
2412,Medical and Surgical Equipment Manufacturing,241
2419,Other Professional and Scientific Equipment Manufacturing,241
2421,Computer and Electronic Office Equipment Manufacturing,242
2422,Communications Equipment Manufacturing,242
2429,Other Electronic Equipment Manufacturing,242
2431,Electric Cable and Wire Manufacturing,243
2432,Electric Lighting Equipment Manufacturing,243
2439,Other Electrical Equipment Manufacturing,243
2441,Whiteware Appliance Manufacturing,244
2449,Other Domestic Appliance Manufacturing,244
2451,Pumps and Compressors Manufacturing,245
2452,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing",245
2461,Agricultural Machinery and Equipment Manufacturing,246
2462,Mining and Construction Machinery Manufacturing,246
2463,Machine Tool and Parts Manufacturing,246
2469,Other Specialised Machinery and Equipment Manufacturing,246
2491,Lifting and Material Handling Equipment Manufacturing,249
2499,Other Machinery and Equipment Manufacturing n.e.c.,249
2511,Wooden Furniture and Upholstered Seat Manufacturing,251
